,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,No Wait Time,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
1,Bensonhurst 14th Avenue,0-30 Minutes,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
2,CU Woodside Houses CHC,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
3,Harlem Hospital Center,30-60 Minutes,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
4,Lincoln Medical Center,30-60 Minutes,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
5,Old Broadway,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
6,Starret City,No Wait Time,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
7,4101 White Plains Road,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
8,Brooklyn Army Terminal,0-30 Minutes,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
9,Cumberland Dtc,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
10,Highbridge Pool,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
11,Mariners Harbor Library,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
12,Queens Hospital Center,30-60 Minutes,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
13,SY Dyckman Lcdla,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
14,57 Cleveland Place,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
15,Canarsie Municipal Lot,0-30 Minutes,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
16,Edward Grant,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
17,Jacobi Medical Center,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
18,Metropolitan Hospital ...,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
19,Rain Boston Road Senio...,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
20,SY St. Nicholas Chc,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
21,Bathgate Contract Post...,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
22,CI Ida G Israel Chc,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
23,Elmhurst Hospital Center,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
24,JFK Airport,No Wait Time,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
25,Midwood,More Than 2 Hours,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
26,Red Hook Recreational ...,No Wait Time,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
27,Sydenham,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
28,Bay Ridge 5th Avenue,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
29,Co-op City Retail Space,No Wait Time,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
30,EY East New York DTC,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
31,Kew Gardens,30-60 Minutes,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
32,Morrisania Diagnostic ...,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
33,Sorrentino Recreationa...,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
34,Sydenham Health Center,Not Reported Yet,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
35,Beach 39th,0-30 Minutes,"12-2-2020,  2:00 PM - 3:59 PM",2020-12-02 19:33:25.952396
