,Location,Wait
0,196 Albany,Not Reported Yet
1,Bensonhurst 14th Avenue,Not Reported Yet
2,CU Woodside Houses CHC,Not Reported Yet
3,Harlem Hospital Center,Not Reported Yet
4,Lincoln Medical Center,Not Reported Yet
5,Old Broadway,Not Reported Yet
6,Starret City,Not Reported Yet
7,4101 White Plains Road,Not Reported Yet
8,Brooklyn Army Terminal,Not Reported Yet
9,Cumberland Dtc,Not Reported Yet
10,Highbridge Pool,Not Reported Yet
11,Mariners Harbor Library,No Wait Time
12,Queens Hospital Center,"<
 
60 Minutes"
13,SY Dyckman Lcdla,Not Reported Yet
14,57 Cleveland Place,No Wait Time
15,Canarsie Municipal Lot,Not Reported Yet
16,Edward Grant,Not Reported Yet
17,Jacobi Medical Center,Not Reported Yet
18,Metropolitan Hospital ...,Not Reported Yet
19,Rain Boston Road Senio...,Not Reported Yet
20,SY St. Nicholas Chc,Not Reported Yet
21,Bathgate Contract Post...,Not Reported Yet
22,CI Ida G Israel Chc,Not Reported Yet
23,Elmhurst Hospital Center,Not Reported Yet
24,JFK Airport,Not Reported Yet
25,Midwood,Not Reported Yet
26,Red Hook Recreaonal ...,No Wait Time
27,Sydenham,Not Reported Yet
28,Bay Ridge 5th Avenue,Not Reported Yet
29,Co-op City Retail Space,Not Reported Yet
30,EY East New York DTC,Not Reported Yet
31,Kew Gardens,Not Reported Yet
32,Morrisania Diagnosc ...,Not Reported Yet
33,Sorrenno Recreaona...,Not Reported Yet
34,Sydenham Health Center,Not Reported Yet
35,Beach 39th,Not Reported Yet
36,Coney Island Hospital ...,Not Reported Yet
37,Fort Hamilton,No Wait Time
38,Kings County Hospital ...,Not Reported Yet
39,Mt. Lore(cid:425)o,Not Reported Yet
40,St. Albans,Not Reported Yet
41,Tremont Community Heal...,Not Reported Yet
42,Bellevue Hospital Center,Not Reported Yet
43,CU Jonathan Williams C...,Not Reported Yet
44,Gouverneur Healthcare,Not Reported Yet
45,LaGuardia Airport,Not Reported Yet
46,North Central Bronx Ho...,Not Reported Yet
47,St. George Ferry Termi...,Not Reported Yet
48,Windsor Park Library,Not Reported Yet
49,Belvis Diagnosc & Tr...,Not Reported Yet
50,CU Vanderbilt,Not Reported Yet
51,Greenbelt Recreaonal...,Not Reported Yet
52,Leﬀerts,Not Reported Yet
53,Northern Boulevard,Not Reported Yet
54,St. James Recreaonal...,Not Reported Yet
55,Woodhull Medical Center,Not Reported Yet
